Name,Date Established,State,City,Type of Society,Society,Publication,First Publication Year,,url,Cesation of Society
Massachusetts Society for Promoting Agriculture (MSPA),1792,MA,,Agriculture,Agricultural and Mechanical,,,"[The Society was responsible for numerous scholarly publications, primarily in the 19th century ( Harvard Univ. cat.). The headquarters of the Society are the Timothy Pickering Library in the Wenham Museum (see the section entitled The Collections).]",,
Maryland Academy of Sciences,1797,MD,Baltimore,Universal Science,Universal,Transactions of the Maryland Academy of Sciences,1837,,http://www.scholarly-societies.org/history/1797mas.html,
Connecticut Academy of Arts and Sciences,1799,CT,,Universal Science,Universal,Memoirs of the Connecticut Academy of Arts and Sciences,1810,,http://www.scholarly-societies.org/history/1799caas.html,
The United States Military Philosophical Society,1802,NY,West Point,Specialized Science,Specialized,,,,,1813
New York Historical Society,1804,NY,New York,Historical,Letters,Collections of the New-York Historical Society for the year,1809,,http://www.scholarly-societies.org/history/1804nyhs.html,
Columbian Chemical Society of Philadelphia,1811,PA,Philadelphia,Specialized Science,Specialized,Memoirs of the Columbian Chemical Society of Philadelphia,1813,,http://www.scholarly-societies.org/history/1811ccsp.html,1813
American Antiquarian Society (AAS),1812,MA,Worchester,Historical,Letters,Archaeologia Americana : Transactions and Collections of the American Antiquarian Society ,1820,,http://www.scholarly-societies.org/history/1812aas.html,
Academy of Natural Sciences,1812,PA,Philadelphia,Specialized Science,Specialized,Journal of the Academy of Natural Sciences of Philadelphia,1817,,,
Literary and Philosophical Society of New York,1814,NY,,Literary,Letters,Transactions of the Literary and Philosophical Society of New-York,1815,,http://www.scholarly-societies.org/history/1814lpsny.html,1834
Columbian Institute for the Promotion of Arts and Sciences,1816,DC,,Universal Science,Universal,,,,,1838
Lyceum of Natural History in the City of New York later renamed New York Academy of Sciences (NYAS),1817,NY,New York,Specialized Science,Specialized,Annals of the Lyceum of Natural History of New-York ,1824,"It should be noted that the Lyceum was founded only three years after the Literary and Philosophical Society of New-York. The two became rivals, in a sense, although the Lyceum was founded with a distinctly narrower scope, namely natural history. Not long after the founding of the Lyceum, the Society went into a protracted decline; its last recorded meeting occurred in 1834. By contrast, the Lyceum still exists, but under the name of New York Academy of Sciences. ",http://www.scholarly-societies.org/history/1817nyas.html,1824
Medical Society of the District of Columbia ,1817,DC,Washington D.C.,Medical,Medical,,,,,
American Geological Society,1819,CT,New Haven,Specialized Science,Specialized,,,"[According to Kraus (1921), the American Geological Society was founded in 1819 at Yale College. The membership included the illustrious Benjamin Silliman (1779-1864). The Society was short-lived, going out of existence in 1828. It seems clear that the American Geological Society was in some sense a precursor to the Association of American Geologists and Naturalists, which was founded in 1840 as the Association of American Geologists, and which ceased to exist on 1848, September 20, when its members convened to resolve their society into a new organization: the American Association for the Advancement of Science.] ",,
Delaware Chemical and Geological Society ,1821,DE,,Specialized Science,Specialized,,,"[According to both Bolton (1897), p.731, and Bogert (1908), p.167, this Society was founded on 1821, September 6 and was short-lived. It probably ceased well before 1830.]",,1830
Maryland Academy of Science and Literature,,MD,Baltimore,Universal Science,Universal,,,"American Antiquarian Society Catalog Record 257394  Constitution and by-laws of the Maryland Academy of Science and Literature. Baltimore: : Printed by John D. Toy, corner of St. Paul and Market Streets., 1825.
10, [2] p. ; 15 cm.
",,
Boston Society of Natural History,1830,MA,Boston,Specialized Science,Specialized,,,"[The Society was founded in 1830. It published a Proceedings beginning 1841. In 1864, it founded a museum which is now known as the Museum of Science.] ",,
Indiana Historical Society,1830,IN,Indianapolis,Historical,Letters,Indiana Historical Society Publications,1897,,http://www.scholarly-societies.org/history/1830ihs.html,
Virginia Historical Society (VHS) ,1831,VA,Richmond,Historical,Letters,,,,http://www.vahistorical.org/,
American Statistical Association renamed  American Statistical Association in 1840,1839,VA,Alexandria,Specialized Science,Specialized,Publications of the American Statistical Association,1888,"According to its website, the ASA was founded on 1839, November 27 as the American Statistical Society, and on 1840, February 5, it became the American Statistical Association.",http://www.scholarly-societies.org/history/1839asa.html,
Association of American Geologists and Naturalists,1840,PA,Philadelphia,Specialized Science,Specialized,"Reports of the first, second, and third meetings of the Association of American Geologists and Naturalists, at Philadelphia in 1840 and 1841, and at Boston in 1842. Embracing its Proceedings and Transactions.",1840,"According to Kraus (1921), the American Geological Society was founded in 1819 at Yale College. The membership included the illustrious Benjamin Silliman (1779_1864). The Society was short-lived, going out of existence in 1828. Kraus follows this discussion by going on to the Association of American Geologists. Although Kraus does not spell it out, it seems clear that the American Geological Society was in some sense a precursor to the Association of American Geologists.",http://www.scholarly-societies.org/history/1840aagn.html,
American Oriental Society (AOS),1842,MI,Ann Arbor,"Historical, Literary, Oriental",Letters,Journal of the American Oriental Society,1843,,http://www.scholarly-societies.org/history/1842aos.html,
American Psychiatric Association,1844,DC,Washington D.C.,Specialized Science,Specialized,Proceedings of the annual meeting / Association of Medical Superintendents of American Institutions for the Insane,1844,,http://www.scholarly-societies.org/history/1844apa.html,
American Medical Association,1847,IL,Chicago,Medical,Medical,Transactions of the American Medical Association,1848,,http://www.scholarly-societies.org/history/1847ama.html,
New York Academy of Medicine,1848,NY,New York,Medical,Medical,Transactions of the New York Academy of Medicine,1851,,http://www.scholarly-societies.org/history/1847nyam.html,
 American Association for the Advancement of Science (AAAS),1848,DC,Washington D.C.,Specialized Science,Specialized, Proceedings of the American Association for the Advancement of Science ,1848,"According to the Archives area of the American Association for the Advancement of Science website, the Association of American Geologists was founded in 1840, and in 1842, it became the Association of American Geologists and Naturalists. The Association ceased to exist on 1848, September 20, when its members convened to resolve their society into a new organization: the American Association for the Advancement of Science. ",http://www.scholarly-societies.org/history/1848aaas.html,
Virginia Mechanics' Institute.,1854,VA,,Mechanical,Agricultural and Mechanical,,,"An active movement among mechanics, journeymen, and employers resulted in the Virginia Mechanics Institute, organized in 1854. The vision of the founders was a broad educational endeavor, ""to promote education in the scientific and mechanic arts and in other subjects relating to the conduct and development of business and industry."" When the Virginia Mechanics Institute was incorporated in 1856, work began with a school of design and a night school. It provided a chemical laboratory, a library, public lectures, and an annual exhibit of the best inventions or works of Virginia mechanics (female as well as male). Virginia Mechanics Institute was a non-profit, non-stock Virginia corporation. It was exclusively an evening school, giving opportunities for technical education to boys and men who held jobs during the day or who were trying to find employment. Applicants had to be at least fifteen years old and of good moral character. During the long period of its independent existence, the institute received the liberal financial support of the City government which made it possible to maintain a schedule of very modest student fees.",,
Virginia agricultural society of Fredericksburg,1820,VA,Fredericksburg,Agriculture,Agricultural and Mechanical,,,,,
"Agricultural Society of Albemarle (Charlottesville, Va.)",,VA,,Agriculture,Agricultural and Mechanical,,,,,
